Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
0.6250;0.20;-0.77;
0.6260;0.67;-1.11;
0.6270;1.04;-1.20;
0.6280;0.99;-1.67;
0.6290;0.92;-1.20;
0.6300;0.79;-1.09;
0.6310;0.33;-1.02;
0.6320;0.27;-0.73;
0.6330;0.20;-0.64;
0.6340;-0.08;-0.46;
0.6350;-0.21;-0.17;
0.6360;-0.31;-0.01;
0.6370;-0.57;-0.03;
0.6380;-0.77;0.39;
0.6390;-1.15;0.65;
0.6400;-1.44;0.91;
0.6410;-1.24;0.82;
0.6420;-0.70;0.40;
0.6430;-0.51;0.23;
0.6440;-0.23;0.10;
0.6450;0.15;-0.23;
0.6460;0.59;-0.53;
0.6470;1.09;-0.78;
0.6480;1.05;-0.87;
0.6490;0.79;-0.71;
0.6500;0.59;-0.51;
0.6510;0.51;-0.52;
0.6520;0.34;-0.33;
0.6530;0.20;-0.06;
0.6540;0.13;-0.09;
0.6550;-0.03;0.08;
0.6560;-0.20;0.25;
0.6570;-0.51;0.33;
0.6580;-0.58;0.73;
0.6590;-1.07;0.79;
0.6600;-1.28;0.92;
0.6610;-1.16;0.95;
0.6620;-0.89;0.55;
0.6630;-0.39;0.41;
0.6640;-0.26;0.06;
0.6650;0.22;-0.18;
0.6660;0.51;-0.56;
0.6670;0.82;-0.81;
0.6680;1.00;-0.85;
0.6690;1.11;-0.82;
0.6700;0.59;-0.57;
0.6710;0.40;-0.45;
0.6720;0.41;-0.41;
0.6730;0.09;-0.32;
0.6740;0.28;-0.16;
0.6750;-0.10;-0.08;
0.6760;-0.29;0.11;
0.6770;-0.45;0.32;
0.6780;-0.62;0.66;
0.6790;-1.06;0.88;
0.6800;-1.49;1.18;
0.6810;-1.17;0.86;
0.6820;-0.69;0.43;
0.6830;-0.27;0.48;
0.6840;-0.21;0.09;
0.6850;0.03;-0.10;
0.6860;0.56;-0.52;
0.6870;0.94;-0.86;
0.6880;1.11;-0.86;
0.6890;1.00;-0.85;
0.6900;0.69;-0.70;
0.6910;0.50;-0.54;
0.6920;0.36;-0.26;
0.6930;0.26;-0.34;
0.6940;0.06;-0.14;
0.6950;-0.19;0.05;
0.6960;-0.18;0.29;
0.6970;-0.29;0.43;
0.6980;-0.57;0.40;
0.6990;-0.94;0.85;
0.7000;-1.24;0.92;
0.7010;-1.25;1.05;
0.7020;-1.03;0.60;
0.7030;-0.34;0.12;
0.7040;-0.07;-0.06;
0.7050;0.13;-0.15;
0.7060;0.55;-0.37;
0.7070;0.73;-0.60;
0.7080;1.28;-0.88;
0.7090;1.23;-0.89;
0.7100;1.05;-0.45;
0.7110;0.74;-0.62;
0.7120;0.20;-0.24;
0.7130;0.22;-0.31;
0.7140;0.08;-0.23;
0.7150;-0.23;-0.27;
0.7160;-0.24;-0.11;
0.7170;-0.19;0.33;
0.7180;-0.50;0.57;
0.7190;-0.86;1.12;
0.7200;-1.09;1.13;
0.7210;-0.95;0.92;
0.7220;-0.73;0.58;
0.7230;-0.54;0.39;
0.7240;-0.42;-0.08;
0.7250;0.11;-0.43;
0.7260;0.86;-0.66;
0.7270;1.09;-0.80;
0.7280;1.28;-0.85;
0.7290;0.86;-0.65;
0.7300;0.69;-0.55;
0.7310;0.74;-0.35;
0.7320;0.46;-0.30;
0.7330;0.41;-0.23;
0.7340;0.09;-0.06;
0.7350;-0.24;-0.15;
0.7360;-0.47;0.04;
0.7370;-0.81;0.04;
0.7380;-0.91;0.24;
0.7390;-1.03;0.73;
0.7400;-1.17;1.14;
0.7410;-0.96;1.06;
0.7420;-0.58;0.79;
0.7430;-0.19;0.42;
0.7440;-0.14;0.08;
0.7450;0.08;-0.34;
0.7460;0.57;-0.57;
0.7470;0.76;-0.90;
0.7480;1.01;-1.12;
0.7490;1.09;-0.87;
0.7500;0.74;-0.50;
0.7510;0.65;-0.38;
0.7520;0.34;-0.24;
0.7530;-0.03;-0.09;
0.7540;0.11;-0.24;
0.7550;-0.27;0.04;
0.7560;-0.40;-0.16;
0.7570;-0.33;-0.04;
0.7580;-0.62;0.47;
0.7590;-1.14;0.78;
0.7600;-1.59;1.14;
0.7610;-1.12;0.88;
0.7620;-0.55;0.57;
0.7630;-0.35;0.37;
0.7640;-0.17;0.25;
0.7650;0.06;-0.07;
0.7660;0.60;-0.68;
0.7670;1.00;-0.90;
0.7680;1.04;-0.90;
0.7690;0.95;-0.97;
0.7700;0.55;-0.76;
0.7710;0.43;-0.54;
0.7720;0.22;-0.25;
0.7730;0.17;-0.12;
0.7740;0.16;-0.16;
0.7750;-0.16;0.03;
0.7760;-0.21;0.10;
0.7770;-0.31;0.44;
0.7780;-0.70;0.60;
0.7790;-1.15;0.84;
0.7800;-1.20;0.95;
0.7810;-1.22;0.91;
0.7820;-0.71;0.65;
0.7830;-0.40;0.58;
0.7840;-0.15;0.26;
0.7850;0.25;0.00;
0.7860;0.56;0.14;
0.7870;0.79;0.07;
0.7880;1.10;0.40;
0.7890;0.89;0.67;
0.7900;0.62;1.10;
0.7910;0.74;1.37;
0.7920;0.18;1.75;
0.7930;0.24;2.15;
0.7940;0.16;2.49;
0.7950;-0.21;2.79;
0.7960;-0.40;3.22;
0.7970;-0.45;3.61;
0.7980;-0.77;4.30;
0.7990;-1.26;5.11;
0.8000;-1.36;5.60;
0.8010;-1.01;5.65;
0.8020;-0.71;5.63;
0.8030;-0.39;5.72;
0.8040;-0.20;5.82;
0.8050;0.16;5.96;
0.8060;0.70;5.71;
0.8070;0.94;5.92;
0.8080;1.24;5.97;
0.8090;0.85;6.20;
0.8100;0.77;6.69;
0.8110;0.55;7.09;
0.8120;0.27;7.55;
0.8130;0.21;8.06;
0.8140;-0.15;8.48;
0.8150;-0.11;8.65;
0.8160;-0.19;9.25;
0.8170;-0.64;9.51;
0.8180;-0.77;9.86;
0.8190;-1.15;10.31;
0.8200;-1.50;10.55;
0.8210;-1.11;10.68;
0.8220;-0.82;10.34;
0.8230;-0.35;10.24;
0.8240;-0.30;10.13;
0.8250;0.14;9.99;
0.8260;0.82;9.52;
0.8270;1.11;9.12;
0.8280;1.23;8.81;
0.8290;0.99;8.96;
0.8300;0.91;9.19;
0.8310;0.52;9.20;
0.8320;0.26;9.26;
0.8330;0.18;9.04;
0.8340;0.11;9.08;
0.8350;-0.15;9.00;
0.8360;-0.39;8.89;
0.8370;-0.43;8.69;
0.8380;-0.66;8.73;
0.8390;-1.20;8.77;
0.8400;-1.50;8.89;
0.8410;-1.30;8.53;
0.8420;-0.73;7.83;
0.8430;-0.45;7.44;
0.8440;-0.30;7.09;
0.8450;0.27;6.51;
0.8460;0.77;5.80;
0.8470;1.00;5.38;
0.8480;1.09;5.14;
0.8490;1.08;4.99;
0.8500;0.80;4.85;
0.8510;0.56;4.71;
0.8520;0.25;4.57;
0.8530;0.21;4.59;
0.8540;0.07;4.60;
0.8550;-0.15;4.42;
0.8560;-0.30;4.22;
0.8570;-0.23;4.30;
0.8580;-0.54;4.19;
0.8590;-0.87;4.21;
0.8600;-1.04;4.43;
0.8610;-0.98;4.07;
0.8620;-0.19;3.44;
0.8630;0.33;3.24;
0.8640;0.75;2.65;
0.8650;1.09;2.24;
0.8660;1.67;1.84;
0.8670;2.22;1.39;
0.8680;2.46;1.22;
0.8690;2.53;0.98;
0.8700;2.41;1.18;
0.8710;2.36;1.18;
0.8720;2.33;1.24;
0.8730;2.58;1.08;
0.8740;2.74;1.07;
0.8750;2.56;1.22;
0.8760;2.56;1.09;
0.8770;2.59;1.05;
0.8780;2.49;1.28;
0.8790;2.16;1.48;
0.8800;2.34;1.65;
