Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
0.5980;0.62;-1.44;
0.5990;0.30;-1.08;
0.6000;0.14;-0.58;
0.6010;0.01;-0.36;
0.6020;-0.06;-0.27;
0.6030;0.02;-0.12;
0.6040;-0.12;-0.08;
0.6050;-0.13;0.14;
0.6060;-0.17;0.23;
0.6070;-0.19;0.18;
0.6080;-0.16;0.65;
0.6090;-0.36;1.25;
0.6100;-0.42;1.47;
0.6110;-0.41;1.34;
0.6120;-0.23;0.78;
0.6130;-0.07;0.35;
0.6140;0.03;-0.04;
0.6150;0.32;-0.48;
0.6160;0.30;-0.86;
0.6170;0.32;-1.25;
0.6180;0.32;-1.50;
0.6190;0.36;-1.18;
0.6200;0.29;-0.45;
0.6210;0.16;-0.34;
0.6220;0.08;-0.24;
0.6230;-0.11;-0.07;
0.6240;-0.01;0.01;
0.6250;-0.12;0.09;
0.6260;-0.19;0.23;
0.6270;-0.06;0.11;
0.6280;-0.23;0.48;
0.6290;-0.51;1.21;
0.6300;-0.51;1.37;
0.6310;-0.52;1.30;
0.6320;-0.47;0.83;
0.6330;-0.18;0.34;
0.6340;-0.13;0.23;
0.6350;0.23;-0.37;
0.6360;0.30;-1.15;
0.6370;0.28;-1.21;
0.6380;0.47;-1.64;
0.6390;0.29;-1.16;
0.6400;0.12;-0.39;
0.6410;0.05;-0.58;
0.6420;0.21;-0.36;
0.6430;-0.02;-0.12;
0.6440;-0.08;0.04;
0.6450;-0.07;0.19;
0.6460;-0.15;0.37;
0.6470;-0.08;0.42;
0.6480;-0.20;0.40;
0.6490;-0.39;1.29;
0.6500;-0.62;1.53;
0.6510;-0.53;1.23;
0.6520;-0.34;0.86;
0.6530;-0.19;0.28;
0.6540;0.06;0.16;
0.6550;0.15;-0.41;
0.6560;0.27;-1.09;
0.6570;0.45;-1.43;
0.6580;0.48;-1.38;
0.6590;0.32;-0.94;
